Year,Week_Number,Close,Net,Open,Low,High,Bid,Ask,Exchange Date,1_Week_Long_Return,Price Score,Bullish_Bearish_Score,Delta_Score,Absolute Storage Score,Delta Inventory Score,1_Week_Short_Return,2_Week_Long_Return,2_Week_Short_Return,3_Week_Long_Return,3_Week_Short_Return,4_Week_Long_Return,4_Week_Short_Return,8_Week_Long_Return,8_Week_Short_Return,12_Week_Long_Return,12_Week_Short_Return,24_Week_Long_Return,24_Week_Short_Return,Total_Score
2024,21,77.72,-2.34,80.01,76.15,80.6,77.77,77.83,2024-05-20,-0.9392691713844622,0.0,-1.0,-1.0,-1.0,1.0,0.9481750876737305,-2.817807514153368,2.8995101284257974,0.9392691713844622,-0.9305289993626564,3.872876994338658,-3.728477641521122,3.1008749356664906,-3.0076126294770966,-1.3767370046320035,1.395955642530966,,,-2.0
2024,20,80.06,1.8,78.18,76.7,80.14,79.75,80.0,2024-05-13,-2.922807894079445,0.0,-1.0,-1.0,-1.0,-1.0,3.01080802882141,-3.834624031976027,3.987530848162102,-5.658256307769174,5.9976168409903385,-2.010991756182862,2.052262587635445,2.6854858855857997,-2.615253618781155,-4.021983512365724,4.190525767829256,,,-4.0
2024,19,78.26,0.15,78.16,76.89,79.96,78.18,78.23,2024-05-06,2.3000255558395057,0.0,1.0,-1.0,-1.0,1.0,-2.2483137646764906,-0.6900076667518606,0.6948018528049493,-1.6227958088423335,1.649564878555676,-3.4883720930232607,3.6144578313253017,6.261180679785319,-5.892255892255882,-6.056733963710719,6.447225244831345,-7.270636340403796,7.840705525699332,0.0
2024,18,78.11,-5.74,83.69,77.96,83.91,77.95,78.01,2024-04-29,0.1920368710792545,0.0,1.0,1.0,-1.0,1.0,-0.19166879631996592,2.496479324030217,-2.4356732450662055,-0.4992958648060435,0.5018013381369091,-1.433875304058385,1.4547343810884517,4.391243118678795,-4.206524405199907,-1.216233516835236,1.2312078797304338,-11.381385225963387,12.843108928055468,2.0
2024,17,83.85,0.71,83.05,80.88,84.46,83.64,83.7,2024-04-22,-6.845557543231956,0.0,-1.0,-1.0,-1.0,-1.0,7.348610933299193,-6.666666666666654,7.14285714285714,-4.519976147883115,4.7339495378466045,-7.310673822301725,7.887287699433854,-3.7209302325581284,3.864734299516903,-4.436493738819319,4.642456008985407,-9.886702444841971,10.971413446267864,-4.0
2024,16,83.14,-2.52,85.93,81.56,86.28,82.33,85.9,2024-04-15,0.8539812364685996,0.0,-1.0,1.0,-1.0,1.0,-0.8467501490757257,-6.050036083714218,6.439636410190763,-5.869617512629294,6.2356248402759995,-3.704594659610294,3.847114664002005,-5.641087322588402,5.978330146590172,-1.1185951407264936,1.1312492397518525,-10.536444551359159,11.777359505243346,0.0
2024,15,85.66,-1.25,86.1,84.55,87.67,85.43,85.48,2024-04-08,-2.9418631800140047,0.0,-1.0,-1.0,-1.0,-1.0,3.0310319942266073,-2.1130049031053026,2.1586165772212285,-8.813915479803873,9.665855844322113,-8.638804576231603,9.455660618451311,-11.825823021246785,13.411889315503768,-2.9185150595377074,3.0062530062530124,-20.406257296287638,25.638017013787007,-4.0
2024,14,86.91,3.74,83.14,82.6,87.63,86.72,86.78,2024-04-01,-1.4382694741686803,0.0,-1.0,1.0,-1.0,-1.0,1.4592575297688537,-4.337820734092735,4.534520086600913,-3.520883672764932,3.6493738819320276,-10.125417098147507,11.26616310331583,-11.41410654700265,12.884790232497734,-6.1788056610286395,6.58572479764532,-17.24772753423081,20.842602892102335,-2.0
2024,13,83.17,2.54,80.85,80.55,83.21,83.1,83.16,2024-03-25,4.496813754959715,0.0,-1.0,1.0,-1.0,-1.0,-4.303302266712683,2.9938679812432305,-2.9068409992995536,-0.03607069856919699,0.03608371421699452,0.8176025009017586,-0.8109719737626642,-6.552843573403874,7.012352032938751,-2.9337501502945744,3.022420413724758,-17.458218107490676,21.150764748725415,-2.0
2024,12,80.63,-0.41,81.03,80.3,83.85,80.78,80.81,2024-03-18,3.1501922361404024,0.0,-1.0,-1.0,1.0,-1.0,-3.053985812191906,7.788664268882552,-7.225865838223456,6.23837281408905,-5.872052299789865,3.1129852412253567,-3.0190040894876202,-0.706932903385828,0.7119660254808702,-2.703708297159857,2.778840025493934,-16.073421803299013,19.151765922860942,-2.0
2024,11,81.04,3.03,77.8,76.79,81.62,80.98,81.04,2024-03-11,-0.5059230009871801,0.0,-1.0,1.0,1.0,1.0,0.508495597172276,2.6283316880552756,-2.5610195984128836,7.243336623889425,-6.754113450696108,5.700888450148063,-5.393415830025672,-3.4304047384007905,3.5522616917965877,-6.799111549851931,7.2951145240301996,-9.242349457058253,10.183548606390215,2.0
2024,10,78.01,-1.96,80.14,77.52,80.67,77.82,77.87,2024-03-04,3.884117420843483,0.0,-1.0,-1.0,1.0,1.0,-3.73889437314906,3.3585437764389057,-3.249410889247162,6.614536597872063,-6.204160153901639,11.408793744391733,-10.240478656080999,0.12818869375720332,-0.12802458071948797,-1.3075246763235613,1.3248473827770058,-4.076400461479306,4.2496325003341,0.0
2024,9,79.97,3.48,76.4,75.84,80.85,79.79,79.83,2024-02-26,-2.45091909466049,0.0,-1.0,-1.0,1.0,1.0,2.512498397641316,1.3380017506565054,-1.3203356367226138,0.825309491059143,-0.8185538881309684,4.00150056271102,-3.847541180714198,4.851819432287102,-4.6273106738222936,-2.8135550831561837,2.8950077200205815,-4.151556833812671,4.331376386170893,0.0
2024,8,76.49,-2.7,78.98,76.32,79.8,76.56,76.62,2024-02-19,4.54961432867042,0.0,-1.0,-1.0,1.0,-1.0,-4.351631861948235,1.987187867695137,-1.9484681451096164,5.948489998692655,-5.614511352418572,5.412472218590667,-5.1345652982760726,8.693946921166173,-7.998556651431333,4.667276768205004,-4.459155633275058,0.4575761537455988,-0.4554919312858008,-2.0
